case,z,y,x,lung,delta,dc,fab,era
CT00000102,80,128,192,0.28526611328125,-1.642147428356111,0.03410203009843826,0,0
CT00000102,80,128,256,0.986761474609375,1.2267408892512321,0.12684404850006104,1,0
CT00000102,120,0,64,0.613836669921875,-0.9489897638559341,0.03113643079996109,2,1
CT00000102,120,0,128,0.37091064453125,-1.4299198519438505,0.038772180676460266,0,0
CT00000102,120,0,256,0.58258056640625,-0.5341684445738792,0.03288402408361435,0,0
CT00000102,120,64,0,0.483831787109375,-4.61394852027297,0.054509397596120834,0,0
CT00000102,120,64,64,0.996630859375,1.382953836582601,0.16120214760303497,0,1
CT00000102,120,64,128,0.37301025390625,0.11124156299047172,0.05057292431592941,0,1
CT00000102,120,64,256,0.932745361328125,0.9277991484850645,0.09490448981523514,0,1
CT00000102,120,128,0,0.373126220703125,-6.5673901699483395,0.058550722897052765,2,0
CT00000102,120,128,64,0.993719482421875,1.3045957311987877,0.1355801373720169,0,1
CT00000102,120,128,128,0.83817138671875,-0.08595323015470058,0.06807905435562134,0,0
CT00000102,120,128,192,0.31494140625,-1.0020723566412926,0.034625738859176636,1,0
CT00000102,120,128,256,0.95198974609375,1.1388601269572973,0.08309535682201385,1,2
CT00000102,160,0,64,0.685467529296875,-0.741866824682802,0.0373217947781086,2,0
CT00000102,160,0,256,0.339251708984375,-1.0069375857710838,0.0328856036067009,0,0
CT00000102,160,64,0,0.572802734375,-4.466651473194361,0.05034339055418968,0,2
CT00000102,160,64,64,1.0,0.8898692904040217,0.14910556375980377,0,1
CT00000102,160,64,128,0.44508056640625,0.3568480897229165,0.031322382390499115,0,0
CT00000102,160,64,256,0.658892822265625,0.3034624387510121,0.035633038729429245,0,0
CT00000102,160,128,0,0.53050537109375,-4.050073213875294,0.05138388276100159,2,0
CT00000102,160,128,64,1.0,1.1223478941246867,0.13270559906959534,0,1
CT00000102,160,128,128,0.8190185546875,-0.8728447719477117,0.04580524191260338,2,1
CT00000102,160,128,192,0.471966552734375,-1.5844713198021054,0.025855351239442825,1,1
CT00000102,160,128,256,1.0,0.8160354918800294,0.10655377060174942,1,0
CT00000102,200,0,64,0.279150390625,-0.8445051498711109,0.043256960809230804,0,2
CT00000102,200,64,0,0.522369384765625,-2.623289357870817,0.05463508144021034,1,1
CT00000102,200,64,64,0.438037109375,-1.345714321359992,0.05452754348516464,0,0
CT00000102,200,64,128,0.21922607421875,-1.0646083392202854,0.04786501079797745,1,0
CT00000102,200,64,192,0.213592529296875,-0.3017337585333735,0.05411091446876526,0,2
CT00000102,200,64,256,0.682977294921875,-0.6893373792991042,0.0643647089600563,1,0
CT00000102,200,128,0,0.578729248046875,-2.228996017947793,0.054368484765291214,0,0
CT00000102,200,128,64,0.7323974609375,-0.6386955501511693,0.0748353824019432,0,0
CT00000102,200,128,128,0.68424072265625,-1.6883253119885921,0.05029887706041336,0,1
CT00000102,200,128,192,0.51065673828125,-1.7324619693681598,0.03710012137889862,0,1
CT00000102,200,128,256,0.952301025390625,-0.08692746632732451,0.09701148420572281,0,0
CT00000103,0,192,256,0.220220947265625,-2.7262484654784203,0.05085235834121704,0,2
